query_image_id,bufferx_rotation_error_deg,bufferx_translation_error_cm,bufferx_translation_x_cm,bufferx_translation_y_cm,bufferx_translation_z_cm,dgedi_rotation_error_deg,dgedi_translation_error_cm,dgedi_translation_x_cm,dgedi_translation_y_cm,dgedi_translation_z_cm,rotation_delta_dgedi_minus_bufferx,translation_delta_cm_dgedi_minus_bufferx,rotation_winner,translation_winner,bufferx_pose_path,dgedi_pose_path
1,3.116330446372222,5.686972749593108,5.646208812051793,-0.6076465406460035,-0.30455013867051184,5.979408100874565,10.228904019358115,9.218801392868178,4.3850809015591885,0.6443941362808924,2.863077654502343,4.541931269765007,bufferx,bufferx,/home/park/vm/code_bufferx/outputs/self_mesh_bufferx_5q_20260731_062514/queries/q000008_000001_i00/method_results/self_mesh/final_relative_pose.npy,/home/park/vm/code/outputs/self_mesh_dgedi_30000_5q_20260731_063250/queries/q000008_000001_i00/method_results/self_mesh/final_relative_pose.npy
2,4.42677987448502,7.780664524840265,7.6244905050472225,-1.441046136403676,-0.5738214176105427,4.289306702802053,7.724844435592444,6.3612782276537025,4.3739383323599474,0.2757250971434869,-0.13747317168296735,-0.055820089247821336,dgedi,dgedi,/home/park/vm/code_bufferx/outputs/self_mesh_bufferx_5q_20260731_062514/queries/q000008_000002_i00/method_results/self_mesh/final_relative_pose.npy,/home/park/vm/code/outputs/self_mesh_dgedi_30000_5q_20260731_063250/queries/q000008_000002_i00/method_results/self_mesh/final_relative_pose.npy
3,13.10155548514989,22.227773381626097,21.678891048454847,-4.842808260235837,0.8042391241052438,28.789046362799013,50.64135576397302,48.456208871911514,-11.343728608133338,9.373502901262938,15.687490877649124,28.41358238234692,bufferx,bufferx,/home/park/vm/code_bufferx/outputs/self_mesh_bufferx_5q_20260731_062514/queries/q000008_000003_i00/method_results/self_mesh/final_relative_pose.npy,/home/park/vm/code/outputs/self_mesh_dgedi_30000_5q_20260731_063250/queries/q000008_000003_i00/method_results/self_mesh/final_relative_pose.npy
4,63.010767871311245,101.90252435309787,28.394524094693054,52.383249749040694,82.66722819049413,9.217963916873144,15.970656662848999,-0.18784583443014757,-14.708395762819562,-6.220103075461201,-53.7928039544381,-85.93186769024888,dgedi,dgedi,/home/park/vm/code_bufferx/outputs/self_mesh_bufferx_5q_20260731_062514/queries/q000008_000004_i00/method_results/self_mesh/final_relative_pose.npy,/home/park/vm/code/outputs/self_mesh_dgedi_30000_5q_20260731_063250/queries/q000008_000004_i00/method_results/self_mesh/final_relative_pose.npy
5,4.477759925048604,7.116309743688457,4.8640261824887,-4.87384291551784,-1.7968775414691551,3.7786495628471233,6.0210308181586285,5.75305280047155,-1.7083836179166534,-0.4864370485853486,-0.6991103622014805,-1.0952789255298283,dgedi,dgedi,/home/park/vm/code_bufferx/outputs/self_mesh_bufferx_5q_20260731_062514/queries/q000008_000005_i00/method_results/self_mesh/final_relative_pose.npy,/home/park/vm/code/outputs/self_mesh_dgedi_30000_5q_20260731_063250/queries/q000008_000005_i00/method_results/self_mesh/final_relative_pose.npy
